="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_m1",="pace_m2",="pace_m3",="grimage2_m1",="grimage2_m2",="grimage2_m3"
="Number of Hasslers",="0.0152**",="",="",="0.782**",="",=""
="",="(0.00382)",="",="",="(0.172)",="",=""
="has_hassler",="",="0.0259**",="",="",="1.252**",=""
="",="",="(0.00732)",="",="",="(0.290)",=""
="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)"
="1",="",="",="0.0110",="",="",="0.707*"
="",="",="",="(0.00782)",="",="",="(0.282)"
="2",="",="",="0.0681**",="",="",="2.339**"
="",="",="",="(0.0157)",="",="",="(0.340)"
="3",="",="",="0.0444",="",="",="1.721"
="",="",="",="(0.0362)",="",="",="(1.159)"
="4",="",="",="0.0961+",="",="",="4.494**"
="",="",="",="(0.0523)",="",="",="(1.076)"
="5+",="",="",="-0.0126",="",="",="2.615"
="",="",="",="(0.0222)",="",="",="(1.825)"
="Observations",="2345",="2345",="2345",="2345",="2345",="2345"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
