="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_m1",="ageaccelgrim2_m1",="pace_m2",="ageaccelgrim2_m2",="pace_m3",="ageaccelgrim2_m3"
="Number of Hasslers",="0.0223**",="0.0127+",="",="",="",=""
="",="(0.00721)",="(0.00642)",="",="",="",=""
="Standardized n_size_hassler (z-score)",="",="",="0.0646**",="0.0865**",="",=""
="",="",="",="(0.0163)",="(0.0208)",="",=""
="smoking",="",="",="",="",="0.383**",="0.659**"
="",="",="",="",="",="(0.0463)",="(0.0354)"
="Observations",="2336",="2336",="2345",="2345",="2342",="2342"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
