="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_est1",="ageaccelgrim2_est1",="pace_est2",="ageaccelgrim2_est2",="pace_est3",="ageaccelgrim2_est3"
="main",="",="",="",="",="",=""
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="0.365",="-0.455",="-0.141**",="-0.0703",="-0.138**",="-0.0628"
="",="(0.392)",="(0.348)",="(0.0401)",="(0.0617)",="(0.0396)",="(0.0582)"
="9054",="-0.133",="-0.222",="-0.150**",="0.0160",="-0.144**",="0.0314"
="",="(0.496)",="(0.540)",="(0.0501)",="(0.0410)",="(0.0479)",="(0.0378)"
="9109",="-0.0356",="0.279",="-0.0377",="0.0110",="-0.0391",="0.00767"
="",="(0.482)",="(0.393)",="(0.0503)",="(0.0579)",="(0.0574)",="(0.0533)"
="9213",="-0.698",="-0.820*",="-0.269**",="-0.0512",="-0.263**",="-0.0396"
="",="(0.437)",="(0.396)",="(0.0607)",="(0.0621)",="(0.0721)",="(0.0578)"
="11277",="0.904",="-0.800",="0.203",="0.0484",="0.252",="0.128"
="",="(0.896)",="(0.921)",="(0.225)",="(0.104)",="(0.228)",="(0.108)"
="13762",="0.181",="-0.686",="-0.237+",="-0.0806",="-0.234+",="-0.0703"
="",="(0.531)",="(0.670)",="(0.121)",="(0.129)",="(0.119)",="(0.110)"
="leukocytes_ic",="-7.660**",="-11.43**",="-3.371**",="-3.416**",="-3.312**",="-3.301**"
="",="(0.495)",="(0.890)",="(0.173)",="(0.127)",="(0.154)",="(0.150)"
="age",="-0.0414**",="-0.0743**",="0.00394**",="-0.00615**",="0.00467**",="-0.00477**"
="",="(0.0114)",="(0.0137)",="(0.00138)",="(0.000984)",="(0.00142)",="(0.00101)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.856**",="0.267",="0.403**",="0.294**",="0.414**",="0.309**"
="",="(0.295)",="(0.470)",="(0.0625)",="(0.0649)",="(0.0636)",="(0.0687)"
="Other",="0.902*",="1.423*",="0.265**",="0.188**",="0.271**",="0.190**"
="",="(0.360)",="(0.571)",="(0.0473)",="(0.0629)",="(0.0478)",="(0.0513)"
="MALE",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.534+",="0.312",="0.151**",="-0.0343",="0.175**",="0.00536"
="",="(0.274)",="(0.347)",="(0.0287)",="(0.0293)",="(0.0290)",="(0.0257)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="0.0749",="-0.0410",="-0.122*",="-0.125*",="-0.0931+",="-0.0707+"
="",="(0.355)",="(0.408)",="(0.0580)",="(0.0547)",="(0.0472)",="(0.0371)"
="College or higher",="-0.953**",="-1.343**",="-0.299**",="-0.365**",="-0.238**",="-0.250**"
="",="(0.342)",="(0.453)",="(0.0471)",="(0.0597)",="(0.0414)",="(0.0439)"
="Never-married",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.282",="-0.227",="-0.0326",="0.0753+",="-0.0219",="0.0884*"
="",="(0.365)",="(0.535)",="(0.0598)",="(0.0411)",="(0.0586)",="(0.0421)"
="Widowed/Divorced/Separated",="0.343",="-0.215",="0.0922",="0.233**",="0.0462",="0.154**"
="",="(0.395)",="(0.589)",="(0.0624)",="(0.0546)",="(0.0659)",="(0.0498)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="-1.058",="1.395",="0.0746",="0.0313",="0.0633",="0.0327"
="",="(1.246)",="(2.454)",="(0.268)",="(0.131)",="(0.261)",="(0.134)"
="Network Size (All)=2",="-1.535",="1.871",="0.0538",="0.123",="-0.00864",="0.0144"
="",="(1.320)",="(2.176)",="(0.285)",="(0.130)",="(0.261)",="(0.127)"
="Network Size (All)=3",="-1.858",="0.346",="0.0623",="0.0738",="0.0185",="-0.00519"
="",="(1.172)",="(1.947)",="(0.264)",="(0.112)",="(0.257)",="(0.127)"
="Network Size (All)=4",="-1.598",="1.698",="0.0840",="0.107",="0.0481",="0.0342"
="",="(1.209)",="(2.196)",="(0.265)",="(0.124)",="(0.259)",="(0.114)"
="Network Size (All)=5",="-1.262",="0.897",="-0.0343",="-0.0784",="-0.0372",="-0.0959"
="",="(1.230)",="(2.231)",="(0.265)",="(0.111)",="(0.250)",="(0.112)"
="Network Size (All)=6",="-2.254+",="1.090",="-0.0300",="0.00801",="-0.0528",="-0.0424"
="",="(1.245)",="(2.137)",="(0.261)",="(0.122)",="(0.246)",="(0.127)"
="Network Size (All)=7",="-1.124",="1.396",="0.0825",="-0.0503",="0.0871",="-0.0607"
="",="(1.381)",="(2.125)",="(0.263)",="(0.111)",="(0.247)",="(0.119)"
="Network Size (All)=8",="-3.034*",="1.703",="-0.173",="-0.157",="-0.134",="-0.105"
="",="(1.471)",="(2.349)",="(0.254)",="(0.126)",="(0.245)",="(0.139)"
="Network Size (All)=9",="-1.699",="1.699",="-0.0255",="-0.0409",="-0.00486",="-0.0270"
="",="(1.467)",="(2.260)",="(0.269)",="(0.128)",="(0.255)",="(0.116)"
