="",="(1)",="(2)",="(3)",="(4)"
="",="pace_m1",="pace_m2",="grimage2_m1",="grimage2_m2"
="i_sp_hassler",="0.00772",="",="0.852",=""
="",="(0.0162)",="",="(0.596)",=""
="i_k_hassler",="0.0264**",="",="1.125**",=""
="",="(0.00869)",="",="(0.329)",=""
="i_nk_hassler",="0.0150",="",="0.779*",=""
="",="(0.00903)",="",="(0.336)",=""
="Standardized values of sp_n_size_hassler",="",="0.00227",="",="0.178"
="",="",="(0.00348)",="",="(0.113)"
="Standardized values of k_n_size_hassler",="",="0.00675*",="",="0.352*"
="",="",="(0.00289)",="",="(0.132)"
="Standardized values of nk_n_size_hassler",="",="0.00512",="",="0.341*"
="",="",="(0.00327)",="",="(0.155)"
="Observations",="2346",="2346",="2346",="2346"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
