="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="Pace: COVID",="Pace: Non-COVID",="AgeAccel (Inter)",="AgeAccel: COVID",="AgeAccel: Non-COVID"
="Number of Hasslers",="",="",="",="",="",=""
="Never-married",="0.0250**",="0.0587**",="0.0178+",="0.901**",="1.938**",="0.674+"
="",="(0.00918)",="(0.0146)",="(0.00989)",="(0.327)",="(0.549)",="(0.353)"
="Married or living with a partner",="0.0112*",="0.00951",="0.0135*",="0.747*",="1.156*",="0.716*"
="",="(0.00442)",="(0.00943)",="(0.00565)",="(0.283)",="(0.445)",="(0.292)"
="Widowed/Divorced/Separated",="0.0172**",="-0.00651",="0.0330**",="0.768*",="0.230",="1.083**"
="",="(0.00624)",="(0.0163)",="(0.00827)",="(0.354)",="(0.470)",="(0.399)"
="Observations",="2345",="915",="1430",="2345",="915",="1430"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
