="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="Pace (reg): COVID",="Pace (reg): Non-COVID",="AgeAccel (Inter)",="AgeAccel (reg): COVID",="AgeAccel (reg): Non-COVID"
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0289**",="-0.0281+",="-0.0297*",="-0.530",="-1.117+",="-0.135"
="",="(0.00788)",="(0.0143)",="(0.0112)",="(0.494)",="(0.585)",="(0.631)"
="9054",="-0.0290**",="-0.0354+",="-0.0262+",="0.129",="-0.457",="0.575"
="",="(0.0106)",="(0.0180)",="(0.0141)",="(0.354)",="(0.565)",="(0.579)"
="9109",="-0.00807",="-0.0108",="-0.00853",="0.0325",="0.242",="-0.0322"
="",="(0.0106)",="(0.0183)",="(0.0114)",="(0.464)",="(0.685)",="(0.525)"
="9213",="-0.0527**",="-0.0559**",="-0.0537**",="-0.428",="-0.577",="-0.369"
="",="(0.0122)",="(0.0166)",="(0.0160)",="(0.489)",="(0.697)",="(0.622)"
="11277",="0.0403",="0.0519",="0.0133",="0.364",="-2.633",="2.021*"
="",="(0.0427)",="(0.0537)",="(0.0576)",="(0.828)",="(1.636)",="(0.876)"
="13762",="-0.0477*",="-0.0233",="-0.0636+",="-0.626",="0.408",="-0.957"
="",="(0.0212)",="(0.0308)",="(0.0322)",="(0.972)",="(0.918)",="(1.401)"
="leukocytes_ic",="-0.679**",="-0.675**",="-0.685**",="-26.40**",="-25.88**",="-26.78**"
="",="(0.0361)",="(0.0441)",="(0.0380)",="(0.873)",="(1.105)",="(1.345)"
="age",="0.000764**",="0.000412",="0.000913**",="-0.0483**",="-0.0500**",="-0.0517**"
="",="(0.000269)",="(0.000316)",="(0.000323)",="(0.00864)",="(0.0105)",="(0.0116)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0822**",="0.0757**",="0.0796**",="2.424**",="2.453**",="2.254**"
="",="(0.0120)",="(0.0167)",="(0.0147)",="(0.541)",="(0.748)",="(0.632)"
="Other",="0.0538**",="0.0779**",="0.0342*",="1.389**",="1.019",="1.551**"
="",="(0.00937)",="(0.0185)",="(0.0139)",="(0.504)",="(0.723)",="(0.567)"
="MALE",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.0306**",="0.0468**",="0.0208*",="-0.254",="-0.384",="-0.235"
="",="(0.00611)",="(0.0124)",="(0.00960)",="(0.232)",="(0.510)",="(0.367)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="-0.0238+",="-0.0333+",="-0.0157",="-0.933*",="-1.332+",="-0.507"
="",="(0.0121)",="(0.0199)",="(0.0113)",="(0.439)",="(0.737)",="(0.511)"
="College or higher",="-0.0603**",="-0.0564**",="-0.0609**",="-2.787**",="-3.060**",="-2.455**"
