="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="est1",="est2",="est3",="est4",="est5",="est6"
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0256",="0.0233",="-0.111",="-0.122",="0.0162",="0.115"
="",="(0.118)",="(0.0989)",="(0.124)",="(0.106)",="(0.176)",="(0.178)"
="9054",="0.0720",="0.0594",="-0.0747",="-0.0653",="0.0474",="0.0703"
="",="(0.0990)",="(0.0789)",="(0.120)",="(0.104)",="(0.123)",="(0.146)"
="9109",="0.0291",="-0.0705",="-0.218",="-0.274*",="0.0118",="-0.125"
="",="(0.127)",="(0.111)",="(0.132)",="(0.122)",="(0.143)",="(0.184)"
="9213",="-0.146",="-0.132",="-0.273+",="-0.244+",="-0.148",="-0.0685"
="",="(0.160)",="(0.137)",="(0.150)",="(0.123)",="(0.225)",="(0.243)"
="11277",="0.236",="0.130",="0.156",="0.146",="0.0797",="-0.252"
="",="(0.179)",="(0.120)",="(0.156)",="(0.121)",="(0.272)",="(0.262)"
="13762",="-0.217",="-0.135",="-0.475*",="-0.413+",="2.609",="2.620"
="",="(0.183)",="(0.178)",="(0.227)",="(0.221)",="(2.817)",="(2.778)"
="leukocytes_ic",="-0.287",="-0.116",="-0.276",="-0.180",="-1.562",="-1.287"
="",="(0.200)",="(0.131)",="(0.203)",="(0.135)",="(1.040)",="(0.913)"
="age",="0.00227",="0.00215",="-0.0123**",="-0.00669**",="0.00857",="0.00852"
="",="(0.00176)",="(0.00149)",="(0.00215)",="(0.00193)",="(0.00539)",="(0.00525)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0651",="-0.00399",="-0.0599",="-0.0683",="0.165",="0.134"
="",="(0.113)",="(0.0764)",="(0.0943)",="(0.0914)",="(0.228)",="(0.211)"
="Other",="-0.0324",="-0.0338",="-0.115",="-0.168",="-0.216",="-0.158"
="",="(0.159)",="(0.117)",="(0.148)",="(0.115)",="(0.279)",="(0.243)"
="MALE",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.215**",="0.145*",="0.314**",="0.198*",="-0.0493",="-0.243"
="",="(0.0713)",="(0.0589)",="(0.0807)",="(0.0813)",="(0.286)",="(0.346)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="-0.136",="-0.00253",="-0.104",="0.0894",="-0.0566",="0.0677"
="",="(0.101)",="(0.0867)",="(0.0780)",="(0.0704)",="(0.138)",="(0.119)"
="College or higher",="-0.428**",="-0.146",="-0.356**",="-0.0618",="0.142",="0.522"
="",="(0.103)",="(0.102)",="(0.102)",="(0.0846)",="(0.394)",="(0.502)"
="Never-married",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.240*",="-0.192*",="-0.194*",="-0.239**",="0.0208",="0.102"
="",="(0.101)",="(0.0839)",="(0.0907)",="(0.0745)",="(0.235)",="(0.245)"
="Widowed/Divorced/Separated",="-0.0430",="-0.0561",="-0.0644",="-0.170",="0.0190",="-0.00862"
="",="(0.123)",="(0.108)",="(0.133)",="(0.122)",="(0.183)",="(0.194)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.733+",="0.498",="0.500",="0.239",="1.612",="1.292+"
="",="(0.434)",="(0.332)",="(0.411)",="(0.283)",="(1.011)",="(0.751)"
="Network Size (All)=2",="0.250",="0.187",="0.294",="0.214",="0.923",="0.898"
="",="(0.448)",="(0.339)",="(0.434)",="(0.339)",="(1.025)",="(0.820)"
="Network Size (All)=3",="0.315",="0.293",="0.356",="0.327",="1.004",="0.811"
="",="(0.400)",="(0.317)",="(0.399)",="(0.274)",="(0.994)",="(0.763)"
="Network Size (All)=4",="0.278",="0.223",="0.247",="0.223",="1.689",="1.463"
="",="(0.385)",="(0.288)",="(0.374)",="(0.244)",="(1.526)",="(1.318)"
="Network Size (All)=5",="-0.0655",="0.0824",="0.0662",="0.165",="0.702",="0.774"
="",="(0.434)",="(0.318)",="(0.425)",="(0.276)",="(1.009)",="(0.816)"
="Network Size (All)=6",="0.0919",="0.210",="0.251",="0.327",="0.629",="0.534"
="",="(0.416)",="(0.310)",="(0.402)",="(0.268)",="(0.992)",="(0.777)"
="Network Size (All)=7",="0.0325",="0.0389",="0.335",="0.291",="0.897",="0.705"
="",="(0.411)",="(0.315)",="(0.387)",="(0.254)",="(0.962)",="(0.715)"
="Network Size (All)=8",="0.0411",="0.0218",="0.171",="0.235",="0.902",="0.724"
="",="(0.469)",="(0.344)",="(0.377)",="(0.242)",="(1.103)",="(0.825)"
="Network Size (All)=9",="-0.197",="-0.0951",="-0.255",="-0.174",="0.437",="0.403"
="",="(0.494)",="(0.362)",="(0.434)",="(0.302)",="(1.048)",="(0.834)"
="Network Size (All)=10",="0.000262",="0.292",="0.0424",="0.175",="0.735",="0.925"
="",="(0.419)",="(0.326)",="(0.428)",="(0.290)",="(1.061)",="(0.936)"
="Network Size (All)=11",="-0.0278",="0.0525",="0.317",="0.246",="0.369",="0.357"
="",="(0.430)",="(0.331)",="(0.471)",="(0.314)",="(0.885)",="(0.659)"
="Network Size (All)=12",="-0.120",="0.243",="-0.0674",="-0.0190",="0.233",="0.370"
="",="(0.479)",="(0.405)",="(0.469)",="(0.344)",="(0.894)",="(0.709)"
="Network Size (All)=13",="0.209",="0.423",="0.404",="0.562",="0.608",="0.968"
="",="(0.673)",="(0.484)",="(0.731)",="(0.454)",="(1.067)",="(0.901)"
="Network Size (All)=14",="0.290",="0.378",="0.196",="0.304",="0.839",="0.939"
="",="(0.452)",="(0.353)",="(0.392)",="(0.287)",="(0.925)",="(0.687)"
="Network Size (All)=15",="0.438",="-0.0736",="0.0784",="0.199",="-0.0460",="-0.696"
="",="(0.472)",="(0.434)",="(0.495)",="(0.382)",="(1.327)",="(1.408)"
="Network Size (All)=16",="0.231",="0.0947",="0.198",="0.232",="0.723",="0.368"
="",="(0.677)",="(0.534)",="(0.622)",="(0.495)",="(1.039)",="(0.644)"
="Network Size (All)=18",="-0.220",="-0.207",="-0.143",="-0.0477",="0.520",="0.290"
="",="(0.577)",="(0.394)",="(0.753)",="(0.419)",="(1.242)",="(0.984)"
="Network Size (All)=19",="-1.330**",="-0.565+",="-0.640",="-0.248",="-1.317",="-0.388"
="",="(0.432)",="(0.325)",="(0.394)",="(0.251)",="(0.854)",="(0.784)"
="Network Size (All)=20",="-1.726**",="-1.444**",="-1.713**",="-1.359**",="0.658",="0.305"
="",="(0.433)",="(0.341)",="(0.392)",="(0.262)",="(1.009)",="(0.714)"
="Network Size (All)=22",="0.0908",="0.713*",="-1.093*",="-0.381",="1.052",="1.924"
="",="(0.415)",="(0.330)",="(0.438)",="(0.301)",="(1.150)",="(1.234)"
="Network Size (All)=24",="-0.543",="-0.118",="-0.848*",="-0.229",="-0.0760",="0.332"
="",="(0.414)",="(0.325)",="(0.408)",="(0.265)",="(0.885)",="(0.779)"
="Network Size (All)=25",="0.556",="0.549",="-1.025*",="-0.502",="0.176",="0.378"
="",="(0.535)",="(0.506)",="(0.507)",="(0.352)",="(0.823)",="(0.646)"
="covid",="0.0863",="0.0719",="0.0838",="-0.00220",="0.557",="0.564"
="",="(0.0669)",="(0.0632)",="(0.0730)",="(0.0687)",="(0.443)",="(0.432)"
="Number of Hasslers",="0.145**",="0.106+",="0.157**",="0.0859*",="0.229**",="0.131*"
="",="(0.0438)",="(0.0556)",="(0.0435)",="(0.0335)",="(0.0687)",="(0.0579)"
="Would you say that, overall, your health is…",="",="0.551**",="",="",="",=""
="",="",="(0.0288)",="",="",="",=""
="Would you say that, in general, your mental health is...",="",="",="",="0.466**",="",=""
="",="",="",="",="(0.0275)",="",=""
="Would you say that, in general, your physical health is...",="",="",="",="",="",="0.776**"
="",="",="",="",="",="",="(0.244)"
="Constant",="2.901**",="1.196**",="3.418**",="1.918**",="2.268*",="-0.0825"
="",="(0.427)",="(0.337)",="(0.417)",="(0.281)",="(0.973)",="(1.347)"
="Observations",="1271",="1271",="1271",="1270",="1271",="1271"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
