="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="AgeAccel (Inter)",="Pace: Gender 1",="Pace: Gender 2",="AgeAccel: Gender 1",="AgeAccel: Gender 2"
="main",="",="",="",="",="",=""
="MALE",="0.00252",="0.843**",="",="",="",=""
="",="(0.00698)",="(0.253)",="",="",="",=""
="FEMALE",="0.0221**",="0.750**",="",="",="",=""
="",="(0.00589)",="(0.180)",="",="",="",=""
="Number of Hasslers",="",="",="0.00328",="0.0200**",="0.785**",="0.685**"
="",="",="",="(0.00719)",="(0.00570)",="(0.245)",="(0.163)"
="Observations",="2345",="2345",="912",="1433",="912",="1433"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
