="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Pace (Inter)",="AgeAccel (Inter)",="Pace (reg): Gender 1",="Pace (reg): Gender 2",="AgeAccel (reg): Gender 1",="AgeAccel (reg): Gender 2"
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0290**",="-0.541",="-0.0301+",="-0.0256+",="-1.235",="0.158"
="",="(0.00815)",="(0.476)",="(0.0176)",="(0.0151)",="(0.753)",="(0.541)"
="9054",="-0.0311**",="0.129",="-0.0344*",="-0.0264*",="-0.284",="0.523"
="",="(0.00996)",="(0.316)",="(0.0150)",="(0.0129)",="(0.561)",="(0.492)"
="9109",="-0.00920",="0.0932",="-0.0181",="-0.00114",="-0.150",="0.435"
="",="(0.00959)",="(0.450)",="(0.0144)",="(0.0130)",="(0.712)",="(0.514)"
="9213",="-0.0558**",="-0.387",="-0.0520**",="-0.0596**",="-0.517",="-0.232"
="",="(0.0122)",="(0.484)",="(0.0175)",="(0.0192)",="(0.968)",="(0.544)"
="11277",="0.0429",="0.365",="0.0360",="0.0496",="-1.078",="2.304+"
="",="(0.0442)",="(0.813)",="(0.0578)",="(0.0559)",="(1.912)",="(1.170)"
="13762",="-0.0500*",="-0.612",="-0.0617+",="-0.0285",="-1.529",="0.699"
="",="(0.0240)",="(0.993)",="(0.0319)",="(0.0235)",="(1.224)",="(0.812)"
="leukocytes_ic",="-0.676**",="-26.46**",="-0.649**",="-0.697**",="-25.46**",="-27.52**"
="",="(0.0344)",="(0.983)",="(0.0435)",="(0.0339)",="(0.935)",="(1.565)"
="age",="0.000802**",="-0.0477**",="0.00147**",="0.000233",="-0.00885",="-0.0810**"
="",="(0.000270)",="(0.00760)",="(0.000371)",="(0.000341)",="(0.00931)",="(0.00897)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0797**",="2.278**",="0.0767**",="0.0822**",="2.532**",="2.073**"
="",="(0.0125)",="(0.511)",="(0.0134)",="(0.0152)",="(0.760)",="(0.594)"
="Other",="0.0543**",="1.449**",="0.0327",="0.0722**",="2.028**",="0.993+"
="",="(0.0100)",="(0.483)",="(0.0200)",="(0.0115)",="(0.609)",="(0.514)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
