="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="\"Pace",="(Inter)\"",="\"AgeAccel",="(Inter)\"",="\"Pace:",="18-30\"",="\"AgeAccel:",="18-30\"",="\"Pace:",="31-40\"",="\"AgeAccel:",="31-40\"",="\"Pace:",="41-50\""
="main",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="18-30",="0.0376**",="1.132**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.00915)",="(0.357)",="",="",="",="",="",="",="",="",="",="",="",=""
="31-40",="0.00599",="0.533+",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.00597)",="(0.287)",="",="",="",="",="",="",="",="",="",="",="",=""
="41-50",="0.0208",="0.417",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0141)",="(0.348)",="",="",="",="",="",="",="",="",="",="",="",=""
="51-60",="0.00352",="1.384**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.00744)",="(0.168)",="",="",="",="",="",="",="",="",="",="",="",=""
="61-70",="0.00313",="-0.0203",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.00848)",="(0.215)",="",="",="",="",="",="",="",="",="",="",="",=""
="71-85",="0.0112",="0.932+",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.00944)",="(0.501)",="",="",="",="",="",="",="",="",="",="",="",=""
="Number of Hasslers",="",="",="0.0368**",="0.953**",="0.00126",="0.322",="0.0156",="0.553+",="-0.000233",="1.166**",="0.00328",="0.0525",="0.00915",="0.805+"
="",="",="",="(0.00837)",="(0.288)",="(0.00834)",="(0.313)",="(0.0164)",="(0.303)",="(0.00733)",="(0.226)",="(0.00859)",="(0.301)",="(0.0118)",="(0.420)"
="Observations",="2279",="2279",="375",="375",="425",="425",="339",="339",="370",="370",="407",="407",="363",="363"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
