="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="\"Pace",="(Inter)\"",="\"AgeAccel",="(Inter)\"",="\"Pace",="(reg):",="18-30\"",="\"AgeAccel",="(reg):",="18-30\"",="\"Pace",="(reg):",="31-40\"",="\"AgeAccel"
="8615",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0278**",="-0.559",="-0.0158",="-0.435",="-0.0463**",="-0.759",="-0.0476*",="-0.475",="-0.0122",="0.0587",="0.0284",="0.645",="-0.0380",="0.0672"
="",="(0.00753)",="(0.453)",="(0.0236)",="(0.665)",="(0.0170)",="(0.916)",="(0.0189)",="(1.158)",="(0.0291)",="(0.983)",="(0.0256)",="(1.281)",="(0.0388)",="(0.688)"
="9054",="-0.0301**",="0.0622",="-0.0284",="2.000*",="-0.0390",="-0.505",="-0.0451*",="-1.803",="-0.0306",="-0.579",="-0.00295",="2.234*",="0.000643",="1.478"
="",="(0.00970)",="(0.374)",="(0.0253)",="(0.870)",="(0.0260)",="(0.820)",="(0.0214)",="(1.126)",="(0.0237)",="(0.749)",="(0.0283)",="(0.844)",="(0.0251)",="(0.919)"
="9109",="-0.0102",="-0.0335",="0.0113",="1.396",="-0.0576*",="-0.983",="0.0275",="-0.396",="-0.00395",="-1.012",="0.0418",="2.005*",="-0.00612",="1.765*"
="",="(0.00984)",="(0.418)",="(0.0243)",="(1.036)",="(0.0261)",="(0.818)",="(0.0257)",="(1.136)",="(0.0182)",="(0.756)",="(0.0254)",="(0.977)",="(0.0268)",="(0.785)"
="9213",="-0.0531**",="-0.434",="-0.0266+",="-0.0415",="-0.0647**",="-0.644",="-0.0952**",="-3.444**",="-0.0858*",="-1.256",="0.0128",="3.334*",="-0.00719",="2.016"
="",="(0.0123)",="(0.487)",="(0.0154)",="(0.808)",="(0.0223)",="(0.643)",="(0.0341)",="(1.241)",="(0.0330)",="(1.025)",="(0.0275)",="(1.317)",="(0.0434)",="(1.402)"
="11277",="0.0297",="0.0343",="-0.175**",="-0.937",="0.0869**",="3.994",="0.0218",="-4.138**",="0.152**",="2.275*",="0.0847",="1.706",="-0.0573",="4.578**"
="",="(0.0403)",="(0.810)",="(0.0382)",="(1.225)",="(0.0257)",="(5.163)",="(0.0502)",="(1.529)",="(0.0362)",="(1.073)",="(0.102)",="(2.171)",="(0.0528)",="(0.967)"
="13762",="-0.0460*",="-0.672",="-0.00549",="-0.465",="-0.0343",="-0.380",="-0.0437+",="-0.219",="-0.0963*",="-3.200**",="-0.0870**",="1.343",="-0.0757+",="-2.139"
="",="(0.0202)",="(0.833)",="(0.0532)",="(1.286)",="(0.0502)",="(1.136)",="(0.0258)",="(1.757)",="(0.0479)",="(1.105)",="(0.0256)",="(1.678)",="(0.0441)",="(2.037)"
="leukocytes_ic",="-0.681**",="-26.34**",="-0.937**",="-21.53**",="-0.868**",="-24.84**",="-0.638**",="-27.79**",="-0.639**",="-24.98**",="-0.686**",="-25.09**",="-0.563**",="-28.57**"
="",="(0.0362)",="(0.870)",="(0.0721)",="(2.146)",="(0.0710)",="(2.008)",="(0.0636)",="(2.157)",="(0.0446)",="(1.299)",="(0.0738)",="(1.368)",="(0.0308)",="(1.052)"
="White",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0821**",="2.362**",="0.0615*",="1.164",="0.0755**",="2.257*",="0.0691**",="2.961*",="0.0209",="-0.350",="0.144**",="4.659**",="0.105*",="3.257+"
="",="(0.0118)",="(0.506)",="(0.0288)",="(0.902)",="(0.0244)",="(0.866)",="(0.0211)",="(1.155)",="(0.0253)",="(1.127)",="(0.0341)",="(1.307)",="(0.0423)",="(1.655)"
="Other",="0.0548**",="1.372**",="0.0448*",="1.211+",="0.0544**",="1.281",="0.0528",="1.346",="0.0771*",="3.141*",="0.0768+",="2.053",="0.0271",="0.195"
="",="(0.00977)",="(0.430)",="(0.0214)",="(0.683)",="(0.0183)",="(0.794)",="(0.0325)",="(1.075)",="(0.0338)",="(1.200)",="(0.0424)",="(1.326)",="(0.0214)",="(1.221)"
="MALE",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.0323**",="-0.268",="0.0399**",="1.393**",="0.0619**",="0.589",="0.0319*",="-0.830",="0.0400*",="-0.352",="-0.0244",="-2.917**",="-0.00270",="-1.631**"
="",="(0.00557)",="(0.229)",="(0.0138)",="(0.463)",="(0.0130)",="(0.544)",="(0.0129)",="(0.650)",="(0.0174)",="(0.587)",="(0.0212)",="(0.577)",="(0.0146)",="(0.409)"
="HS or less than HS",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="-0.0247+",="-1.001*",="-0.00515",="-1.118",="-0.0169",="-0.379",="-0.0207",="-0.654",="-0.0403+",="-2.990**",="-0.0450",="-0.183",="-0.0679**",="-0.910"
="",="(0.0128)",="(0.451)",="(0.0182)",="(0.776)",="(0.0221)",="(0.726)",="(0.0195)",="(1.015)",="(0.0239)",="(0.909)",="(0.0327)",="(0.909)",="(0.0210)",="(0.614)"
="College or higher",="-0.0628**",="-3.031**",="-0.0757**",="-3.495**",="-0.0676**",="-3.121**",="-0.0793**",="-3.865**",="-0.0545+",="-3.417**",="-0.0653*",="-2.025*",="-0.110**",="-1.867*"
="",="(0.0101)",="(0.450)",="(0.0217)",="(0.695)",="(0.0194)",="(0.717)",="(0.0160)",="(1.094)",="(0.0290)",="(0.975)",="(0.0317)",="(0.873)",="(0.0203)",="(0.714)"
="Never-married",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.00937",="-0.172",="0.0300+",="0.426",="-0.0116",="0.0656",="-0.0352+",="-1.485+",="-0.0306",="-0.838",="-0.0863*",="-2.071*",="-0.0464",="-0.999"
="",="(0.0123)",="(0.335)",="(0.0150)",="(0.537)",="(0.0254)",="(0.788)",="(0.0197)",="(0.845)",="(0.0314)",="(1.290)",="(0.0384)",="(0.930)",="(0.0383)",="(1.203)"
="Widowed/Divorced/Separated",="0.0169",="1.137*",="0.109+",="2.382",="-0.0382",="1.098",="-0.0108",="-0.476",="0.0316",="0.838",="-0.0546",="-0.119",="-0.0155",="-0.268"
="",="(0.0125)",="(0.452)",="(0.0580)",="(2.417)",="(0.0299)",="(0.693)",="(0.0202)",="(1.128)",="(0.0273)",="(1.261)",="(0.0402)",="(1.252)",="(0.0374)",="(1.121)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.00879",="-0.0519",="-0.0671",="-2.338",="0.0450",="-2.434",="0.0311",="2.457",="-0.0455",="-2.412",="-0.159*",="-0.776",="0.128+",="2.409"
="",="(0.0522)",="(1.190)",="(0.147)",="(2.775)",="(0.0620)",="(1.854)",="(0.0614)",="(2.834)",="(0.109)",="(1.761)",="(0.0760)",="(2.516)",="(0.0670)",="(1.922)"
="Network Size (All)=2",="0.0110",="0.825",="0.0127",="-0.510",="0.0346",="-3.522",="0.139**",="9.985**",="-0.0192",="-1.475",="-0.175*",="0.629",="0.0766",="1.486"
="",="(0.0545)",="(1.053)",="(0.153)",="(2.598)",="(0.0667)",="(2.259)",="(0.0378)",="(2.911)",="(0.103)",="(1.645)",="(0.0853)",="(2.303)",="(0.0572)",="(1.079)"
="Network Size (All)=3",="0.00751",="0.403",="-0.00658",="-2.471",="0.0200",="-1.565",="0.0651",="6.143*",="-0.0407",="-2.007",="-0.0751",="0.808",="0.105*",="1.419"
="",="(0.0498)",="(0.969)",="(0.138)",="(1.682)",="(0.0401)",="(1.180)",="(0.0424)",="(2.835)",="(0.104)",="(1.352)",="(0.0744)",="(2.119)",="(0.0505)",="(1.276)"
="Network Size (All)=4",="0.0103",="0.657",="-0.0116",="-1.895",="0.0351",="-1.464",="0.0690+",="5.947+",="-0.000510",="0.446",="-0.148+",="-0.446",="0.119*",="0.609"
="",="(0.0494)",="(0.922)",="(0.143)",="(1.637)",="(0.0346)",="(1.212)",="(0.0383)",="(2.975)",="(0.104)",="(1.373)",="(0.0744)",="(1.891)",="(0.0504)",="(1.163)"
="Network Size (All)=5",="-0.00867",="-0.707",="-0.00791",="-1.846",="-0.00366",="-3.514**",="0.0492",="4.126",="-0.0506",="-2.649+",="-0.120",="-1.006",="0.0739",="-0.0973"
="",="(0.0498)",="(0.869)",="(0.146)",="(1.717)",="(0.0409)",="(1.316)",="(0.0465)",="(2.966)",="(0.107)",="(1.533)",="(0.0724)",="(1.773)",="(0.0628)",="(1.408)"
="Network Size (All)=6",="-0.00846",="-0.138",="-0.0275",="-2.169",="0.00842",="-3.526**",="0.0212",="5.440+",="-0.0130",="-0.593",="-0.0825",="0.903",="0.0554",="0.306"
="",="(0.0481)",="(0.952)",="(0.145)",="(1.825)",="(0.0388)",="(1.228)",="(0.0422)",="(2.949)",="(0.103)",="(1.544)",="(0.0739)",="(1.987)",="(0.0597)",="(1.104)"
="Network Size (All)=7",="0.00853",="-0.707",="-0.00715",="-3.634+",="0.0247",="-2.737+",="0.0551",="4.195",="0.0300",="-1.203",="-0.0840",="-0.157",="0.0830",="0.605"
="",="(0.0494)",="(0.864)",="(0.148)",="(1.904)",="(0.0422)",="(1.556)",="(0.0427)",="(2.859)",="(0.0956)",="(1.587)",="(0.0721)",="(2.318)",="(0.0580)",="(1.146)"
="Network Size (All)=8",="-0.0422",="-1.333",="-0.0227",="-1.510",="-0.0249",="-2.978*",="0.0107",="3.063",="-0.0119",="-2.084",="-0.215*",="-4.437*",="0.0107",="-0.115"
="",="(0.0515)",="(1.099)",="(0.144)",="(2.050)",="(0.0520)",="(1.456)",="(0.0508)",="(3.414)",="(0.116)",="(1.683)",="(0.0808)",="(1.947)",="(0.0804)",="(1.618)"
="Network Size (All)=9",="-0.0154",="-0.470",="-0.0555",="-2.701",="0.0595",="-1.946+",="0.0714",="6.631+",="-0.0606",="-4.682**",="-0.188*",="-2.171",="0.154+",="2.034"
="",="(0.0527)",="(1.000)",="(0.152)",="(1.943)",="(0.0441)",="(1.042)",="(0.0591)",="(3.414)",="(0.107)",="(1.709)",="(0.0736)",="(2.301)",="(0.0882)",="(1.633)"
="Network Size (All)=10",="-0.0422",="-1.373",="0.0103",="-0.932",="-0.0856+",="-5.728**",="0.0250",="3.497",="-0.153",="-4.366*",="-0.0668",="1.890",="0.0544",="1.515"
