="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_est1",="pace_est2",="pace_est3",="grimage2_est1",="grimage2_est2",="grimage2_est3"
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0286**",="-0.0296**",="-0.0291**",="-0.530",="-0.580",="-0.538"
="",="(0.00807)",="(0.00809)",="(0.00786)",="(0.490)",="(0.485)",="(0.492)"
="9054",="-0.0290**",="-0.0286**",="-0.0270*",="0.129",="0.145",="0.169"
="",="(0.0107)",="(0.0106)",="(0.0105)",="(0.356)",="(0.362)",="(0.358)"
="9109",="-0.00798",="-0.00820",="-0.00766",="0.0326",="0.0246",="0.0369"
="",="(0.0106)",="(0.0108)",="(0.0103)",="(0.466)",="(0.468)",="(0.457)"
="9213",="-0.0529**",="-0.0535**",="-0.0515**",="-0.433",="-0.464",="-0.403"
="",="(0.0121)",="(0.0123)",="(0.0119)",="(0.477)",="(0.492)",="(0.482)"
="11277",="0.0393",="0.0383",="0.0387",="0.354",="0.306",="0.361"
="",="(0.0433)",="(0.0434)",="(0.0436)",="(0.838)",="(0.872)",="(0.806)"
="13762",="-0.0479*",="-0.0490*",="-0.0467*",="-0.629",="-0.692",="-0.613"
="",="(0.0211)",="(0.0210)",="(0.0211)",="(0.968)",="(0.961)",="(0.971)"
="leukocytes_ic",="-0.679**",="-0.683**",="-0.684**",="-26.40**",="-26.60**",="-26.49**"
="",="(0.0360)",="(0.0357)",="(0.0365)",="(0.870)",="(0.853)",="(0.873)"
="age",="0.000769**",="0.000764**",="0.000806**",="-0.0482**",="-0.0487**",="-0.0474**"
="",="(0.000271)",="(0.000273)",="(0.000272)",="(0.00866)",="(0.00881)",="(0.00879)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0830**",="0.0843**",="0.0843**",="2.434**",="2.503**",="2.454**"
="",="(0.0119)",="(0.0119)",="(0.0119)",="(0.535)",="(0.535)",="(0.525)"
="Other",="0.0531**",="0.0555**",="0.0542**",="1.380**",="1.509*",="1.360**"
="",="(0.00923)",="(0.00999)",="(0.00950)",="(0.505)",="(0.575)",="(0.491)"
="MALE",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.0306**",="0.0305**",="0.0304**",="-0.254",="-0.248",="-0.255"
="",="(0.00615)",="(0.00610)",="(0.00602)",="(0.231)",="(0.233)",="(0.232)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="-0.0234+",="-0.0240+",="-0.0233+",="-0.929*",="-0.966*",="-0.916*"
="",="(0.0121)",="(0.0120)",="(0.0123)",="(0.442)",="(0.440)",="(0.448)"
="College or higher",="-0.0590**",="-0.0606**",="-0.0590**",="-2.772**",="-2.862**",="-2.763**"
="",="(0.00963)",="(0.00958)",="(0.00977)",="(0.445)",="(0.439)",="(0.453)"
="Never-married",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.00560",="-0.00573",="-0.00442",="0.590",="0.592",="0.607"
="",="(0.0126)",="(0.0129)",="(0.0126)",="(0.366)",="(0.374)",="(0.364)"
="Widowed/Divorced/Separated",="0.0196",="0.0190",="0.0187",="1.860**",="1.834**",="1.841**"
="",="(0.0125)",="(0.0125)",="(0.0123)",="(0.460)",="(0.466)",="(0.466)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.0156",="0.0153",="0.0160",="0.349",="0.332",="0.357"
="",="(0.0532)",="(0.0531)",="(0.0531)",="(1.110)",="(1.111)",="(1.113)"
="Network Size (All)=2",="0.0108",="0.0102",="0.0114",="0.898",="0.876",="0.907"
="",="(0.0562)",="(0.0564)",="(0.0560)",="(1.059)",="(1.069)",="(1.058)"
="Network Size (All)=3",="0.0132",="0.0122",="0.0139",="0.635",="0.594",="0.652"
="",="(0.0508)",="(0.0509)",="(0.0508)",="(0.961)",="(0.972)",="(0.962)"
="Network Size (All)=4",="0.0158",="0.0155",="0.0144",="0.849",="0.855",="0.802"
="",="(0.0500)",="(0.0498)",="(0.0498)",="(0.955)",="(0.966)",="(0.959)"
="Network Size (All)=5",="-0.00743",="-0.00800",="-0.00669",="-0.550",="-0.554",="-0.537"
="",="(0.0512)",="(0.0511)",="(0.0504)",="(0.904)",="(0.919)",="(0.903)"
="Network Size (All)=6",="-0.00594",="-0.00686",="-0.00652",="0.106",="0.0833",="0.0987"
="",="(0.0491)",="(0.0491)",="(0.0491)",="(0.990)",="(0.994)",="(0.996)"
="Network Size (All)=7",="0.0169",="0.0174",="0.0126",="-0.342",="-0.286",="-0.425"
="",="(0.0504)",="(0.0503)",="(0.0505)",="(0.858)",="(0.863)",="(0.856)"
="Network Size (All)=8",="-0.0357",="-0.0364",="-0.0386",="-1.151",="-1.158",="-1.210"
="",="(0.0524)",="(0.0524)",="(0.0517)",="(1.047)",="(1.056)",="(1.052)"
="Network Size (All)=9",="-0.00428",="-0.00618",="-0.00767",="-0.246",="-0.298",="-0.329"
="",="(0.0520)",="(0.0519)",="(0.0515)",="(0.964)",="(0.991)",="(0.981)"
="Network Size (All)=10",="-0.0376",="-0.0355",="-0.0392",="-1.280",="-1.133",="-1.264"
="",="(0.0465)",="(0.0461)",="(0.0477)",="(0.950)",="(0.894)",="(0.946)"
="Network Size (All)=11",="-0.0154",="-0.0100",="-0.0134",="-1.288",="-0.978",="-1.280"
="",="(0.0581)",="(0.0573)",="(0.0565)",="(1.026)",="(1.026)",="(1.003)"
="Network Size (All)=12",="-0.0616",="-0.0514",="-0.0528",="-1.816",="-1.255",="-1.719"
="",="(0.0508)",="(0.0509)",="(0.0509)",="(1.118)",="(1.053)",="(1.089)"
="Network Size (All)=13",="0.00778",="0.0160",="0.0191",="-0.518",="-0.0633",="-0.284"
="",="(0.0559)",="(0.0545)",="(0.0540)",="(1.796)",="(1.674)",="(1.725)"
="Network Size (All)=14",="-0.00136",="-0.000746",="0.000287",="-0.497",="-0.440",="-0.439"
="",="(0.0592)",="(0.0589)",="(0.0593)",="(1.321)",="(1.308)",="(1.329)"
="Network Size (All)=15",="0.0961",="0.107",="0.0843",="0.801",="1.429",="0.674"
="",="(0.0936)",="(0.0926)",="(0.0914)",="(1.705)",="(1.790)",="(1.657)"
="Network Size (All)=16",="-0.0144",="-0.0188",="-0.0177",="-0.392",="-0.546",="-0.458"
="",="(0.0857)",="(0.0842)",="(0.0878)",="(1.512)",="(1.483)",="(1.495)"
="Network Size (All)=18",="0.0225",="0.0704",="0.0631",="-1.350",="1.190",="-0.420"
="",="(0.0589)",="(0.0628)",="(0.0820)",="(1.570)",="(2.375)",="(2.140)"
="Network Size (All)=19",="0.0138",="0.0166",="0.0142",="-3.789**",="-3.630**",="-3.799**"
="",="(0.0498)",="(0.0496)",="(0.0491)",="(0.913)",="(0.911)",="(0.919)"
="Network Size (All)=20",="0.0188",="0.0111",="0.0238",="0.0872",="-0.219",="0.188"
="",="(0.118)",="(0.118)",="(0.116)",="(2.327)",="(2.349)",="(2.306)"
="Network Size (All)=22",="0.221**",="0.221**",="0.220**",="-1.650+",="-1.653+",="-1.673+"
="",="(0.0464)",="(0.0463)",="(0.0457)",="(0.941)",="(0.935)",="(0.935)"
="Network Size (All)=24",="-0.0190",="-0.0180",="-0.0204",="-1.553",="-1.499",="-1.583"
="",="(0.0471)",="(0.0468)",="(0.0466)",="(1.013)",="(1.017)",="(1.015)"
="Network Size (All)=25",="-0.0429",="0.0247",="0.0612",="-4.374**",="-0.786",="-2.328"
="",="(0.0568)",="(0.0522)",="(0.0491)",="(1.635)",="(1.014)",="(2.289)"
="Number of Hasslers",="0.0152**",="",="",="0.784**",="",=""
="",="(0.00384)",="",="",="(0.189)",="",=""
="has_hassler",="",="0.0258**",="",="",="1.237**",=""
="",="",="(0.00709)",="",="",="(0.296)",=""
="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)"
="1",="",="",="0.0108",="",="",="0.679*"
="",="",="",="(0.00782)",="",="",="(0.290)"
="2",="",="",="0.0682**",="",="",="2.324**"
="",="",="",="(0.0157)",="",="",="(0.369)"
="3",="",="",="0.0426",="",="",="1.774+"
="",="",="",="(0.0331)",="",="",="(0.950)"
="4",="",="",="0.0966+",="",="",="4.570**"
="",="",="",="(0.0534)",="",="",="(1.144)"
="5+",="",="",="-0.0131",="",="",="2.642"
="",="",="",="(0.0223)",="",="",="(1.900)"
="Constant",="1.646**",="1.649**",="1.646**",="20.19**",="20.37**",="20.19**"
="",="(0.0595)",="(0.0592)",="(0.0599)",="(1.290)",="(1.296)",="(1.296)"
="Observations",="2345",="2345",="2345",="2345",="2345",="2345"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
