="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_m1",="pace_m2",="pace_m3",="grimage2_m1",="grimage2_m2",="grimage2_m3"
="% Negative Ties",="0.0796**",="",="",="4.040**",="",=""
="",="(0.0203)",="",="",="(1.037)",="",=""
="0-",="",="0",="",="",="0",=""
="",="",="(.)",="",="",="(.)",=""
=".01-",="",="0.0142",="",="",="1.016**",=""
="",="",="(0.00934)",="",="",="(0.261)",=""
=".25-",="",="0.0356**",="",="",="1.091*",=""
="",="",="(0.0133)",="",="",="(0.411)",=""
=".5-",="",="0.0142",="",="",="1.324",=""
="",="",="(0.0213)",="",="",="(0.905)",=""
="1-",="",="0.0831*",="",="",="4.978**",=""
="",="",="(0.0325)",="",="",="(1.576)",=""
="Mean Frequency of Negative Interactions",="",="",="0.0149*",="",="",="0.702**"
="",="",="",="(0.00631)",="",="",="(0.246)"
="Observations",="2345",="2345",="2345",="2345",="2345",="2345"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
