="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="general_health",="mental_health",="physical_health",="anx_severity",="dep_severity",="inflammation",="multi_morbidity",="waist_to_hip_ratio",="bmi",="height"
="8615",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0263",="-0.0263",="-0.0322",="-1.037",="0.113",="-0.00325**",="0.0113",="-0.00325",="-0.979",="-0.872"
="",="(0.0811)",="(0.101)",="(0.0982)",="(1.617)",="(1.684)",="(0.000898)",="(0.129)",="(0.0114)",="(0.917)",="(1.412)"
="9054",="-0.00272",="0.0178",="-0.00889",="-0.407",="0.335",="-0.00337**",="0.00433",="-0.00680",="-1.018",="0.768"
="",="(0.0874)",="(0.103)",="(0.0982)",="(1.702)",="(1.632)",="(0.000831)",="(0.0941)",="(0.0118)",="(0.998)",="(1.167)"
="9109",="0.131+",="0.146",="0.191*",="0.749",="1.636",="-0.00216*",="0.0997",="-0.00355",="-1.055",="0.381"
="",="(0.0756)",="(0.103)",="(0.0831)",="(1.813)",="(2.007)",="(0.000868)",="(0.122)",="(0.00893)",="(0.738)",="(1.569)"
="9213",="0.0107",="-0.00622",="-0.0320",="4.397*",="2.766",="-0.00379**",="-0.0450",="-0.00655",="-2.455**",="-0.0257"
="",="(0.109)",="(0.0966)",="(0.122)",="(1.905)",="(1.763)",="(0.000932)",="(0.115)",="(0.0106)",="(0.914)",="(1.173)"
="11277",="-0.256",="-0.153",="-0.108",="-7.606*",="-10.32**",="0.00152",="-0.253",="0.0221",="0.975",="-0.521"
="",="(0.263)",="(0.239)",="(0.291)",="(2.876)",="(3.775)",="(0.00226)",="(0.299)",="(0.0162)",="(1.987)",="(1.233)"
="13762",="-0.0883",="-0.0675",="0.00121",="-7.729**",="-5.609*",="-0.00476**",="0.159",="-0.00665",="0.772",="1.230"
="",="(0.125)",="(0.108)",="(0.129)",="(1.761)",="(2.523)",="(0.00168)",="(0.181)",="(0.0136)",="(1.361)",="(2.058)"
